,"AAEC","3910","INTERNSHIPS",,"36168","STEGELIN",,35,15,,,
,"AAEC","7300","MASTER'S THESIS",,"66701","KOSTANDINI",,25,1,,,
,"AAEC","7300","MASTER'S THESIS",,"76688","DORFMAN",,25,2,,,
,"AAEC","7300","MASTER'S THESIS",,"76691","ESCALANTE",,25,3,,,
,"AAEC","7300","MASTER'S THESIS",,"96692","FERREIRA",,25,0,,,
,"AAEC","7300","MASTER'S THESIS",,"96708","RAMIREZ",,25,0,,,
,"AAEC","8020","AG & APP ECON TOPIC",,"46681","FERREIRA",,1,1,,,
,"AAEC","9000","DOCTORAL RESEARCH",,"06734","FLORKOWSKI",,25,1,,,
,"AAEC","9000","DOCTORAL RESEARCH",,"06743","AMES",,25,0,,,
,"AAEC","9000","DOCTORAL RESEARCH",,"08614","FONSAH",,25,0,,,
,"AAEC","9000","DOCTORAL RESEARCH",,"16735","FERREIRA",,25,1,,,
,"AAEC","9000","DOCTORAL RESEARCH",,"46714","MULLEN",,25,0,,,
,"AAEC","9000","DOCTORAL RESEARCH",,"46728","GUNTER",,25,1,,,
,"AAEC","9000","DOCTORAL RESEARCH",,"66729","FONSAH",,25,0,,,
,"AAEC","9000","DOCTORAL RESEARCH",,"76738","ESCALANTE",,25,0,,,
,"AAEC","9000","DOCTORAL RESEARCH",,"96711","WETZSTEIN",,25,1,,,
,"AAEC","9000","DOCTORAL RESEARCH",,"96725","HOUSTON",,25,0,,,
,"AAEC","9000","DOCTORAL RESEARCH",,"96739","DORFMAN",,25,1,,,
,"AAEC","9000","DOCTORAL RESEARCH",,"96742","BERGSTROM",,25,1,,,
,"AAEC","9300","DOCT DISSERTATION",,"06712","WETZSTEIN",,25,0,,,
,"AAEC","9300","DOCT DISSERTATION",,"06726","HOUSTON",,25,0,,,
,"AAEC","9300","DOCT DISSERTATION",,"26713","MULLEN",,25,1,,,
,"AAEC","9300","DOCT DISSERTATION",,"26727","GUNTER",,25,1,,,
,"AAEC","9300","DOCT DISSERTATION",,"26744","AMES",,25,0,,,
,"AAEC","9300","DOCT DISSERTATION",,"36736","FERREIRA",,25,1,,,
,"AAEC","9300","DOCT DISSERTATION",,"46731","FONSAH",,25,1,,,
,"AAEC","9300","DOCT DISSERTATION",,"56737","ESCALANTE",,25,0,,,
,"AAEC","9300","DOCT DISSERTATION",,"56740","DORFMAN",,25,0,,,
,"AAEC","9300","DOCT DISSERTATION",,"76741","BERGSTROM",,25,1,,,
,"AAEC","9300","DOCT DISSERTATION",,"86733","FLORKOWSKI",,25,0,,,
,"ACCT","2101","PRIN OF ACC I",,"32329","BHANDARKAR",,90,85,,,
,"ACCT","2101E","PRIN OF ACC I",,"05647","BHANDARKAR",,29,27,,,
,"ACCT","2102","PRIN ACC II",,"02330","MATTHEWS",,80,64,,,
,"ACCT","2102E","PRIN ACC II",,"15102","FARMER",,40,38,,,
,"ACCT","5800","INTERNSHIP IN ACCT",,"12331","SCHWAB",,30,13,,,
,"ACCT","7005","GRAD STUDENT SEM",,"04622","AYERS",,20,16,,,
,"ACCT","7651","FORENSIC ACCT",,"32332","CARPENTER",,45,44,,,
,"ACCT","7800","GRAD INTERN IN ACCT",,"52333","SCHWAB",,75,53,,,
,"ACCT","9000","DOCTORAL RESEARCH",,"26467","BAGINSKI",,5,1,,,
,"ACCT","9000","DOCTORAL RESEARCH",,"77209","AYERS",,5,2,,,
,"ACCT","9000","DOCTORAL RESEARCH",,"96255","HAMMERSLEY",,5,2,,,
,"ACCT","9300","DOCT DISSERTATION",,"38017","AYERS",,5,1,,,
,"ACCT","9300","DOCT DISSERTATION",,"48379","HAMMERSLEY",,5,1,,,
,"ADPR","3100","PRINCIPLES OF ADVT",,"02747","HAMILTON",,44,18,,,
,"ADPR","3520","GRAPHIC COMM",,"22757","JONES",,4,15,,,
,"ADPR","3520","GRAPHIC COMM",,"52770","ACOSTA ALZUR",,6,14,,,
,"ADPR","3520","GRAPHIC COMM",,"82763","JONES",,5,17,,,
,"ADPR","5010","ADVT INTERNSHIP",,"33867","REICHERT",,30,10,,,
,"ADPR","5011","PR INTERNSHIP",,"53868","REBER",,30,17,,,
,"ADPR","5170","ADVAN STUDIES AD/PR",,"58391","RUSSELL",,30,1,,,
,"ADPR","5740","ADVT/COMM CAMPAIGNS",,"62776","GRIFFITH",,1,25,,,
,"ADPR","5740","ADVT/COMM CAMPAIGNS",,"82777","GRIFFITH",,1,24,,,
,"ADPR","5910","PR ADMINISTRATION",,"42775","SALLOT",,6,16,,,
,"ADPR","5990","SEM IN AD/PR",,"02778","STRAUSBAUGH-",,40,21,,,
,"ADPR","5990","SEM IN AD/PR",,"12779","RUSSELL",,10,11,,,
,"ADSC","3700","SP PROB ADS",,"66603","TURNER",,5,1,,,
,"ADSC","3910","INTERNSHIP IN ADS",,"65628","PRINGLE",,40,15,,,
,"ADSC","4960","UNGRAD RESEARCH ADS",,"75752","AZAIN",,10,0,,,
,"ADSC","4960","UNGRAD RESEARCH ADS",,"88627","DUBERSTEIN",,5,1,,,
,"ADSC","7000","MASTER'S RESEARCH",,"07057","BERNARD",,5,0,,,
,"ADSC","7000","MASTER'S RESEARCH",,"17058","STELZLENI",,5,2,,,
,"ADSC","7000","MASTER'S RESEARCH",,"27053","STICE",,5,2,,,
,"ADSC","7000","MASTER'S RESEARCH",,"47054","NICKERSON",,5,2,,,
,"ADSC","7000","MASTER'S RESEARCH",,"67055","AZAIN",,5,4,,,
,"ADSC","7000","MASTER'S RESEARCH",,"78053","REKAYA",,5,1,,,
,"ADSC","7000","MASTER'S RESEARCH",,"87056","WEST",,10,1,,,
,"ADSC","7000","MASTER'S RESEARCH",,"97325","GRAVES",,10,1,,,
,"ADSC","7300","MASTER'S THESIS",,"07326","GRAVES",,10,1,,,
,"ADSC","7300","MASTER'S THESIS",,"07379","NICKERSON",,5,1,,,
,"ADSC","7300","MASTER'S THESIS",,"27070","STELZLENI",,5,2,,,
,"ADSC","7300","MASTER'S THESIS",,"37059","WEST",,5,1,,,
,"ADSC","7300","MASTER'S THESIS",,"58455","BERNARD",,5,1,,,
,"ADSC","8710","SPEC PROB IN ADS II",,"17464","NICKERSON",,5,2,,,
,"ADSC","8710","SPEC PROB IN ADS II",,"78327","STELZLENI",,5,1,,,
,"ADSC","8800","GRADUATE SEMINAR",,"87073","STELZLENI",,5,4,,,
,"ADSC","9000","DOCTORAL RESEARCH",,"07049","WEST",,10,2,,,
,"ADSC","9000","DOCTORAL RESEARCH",,"17383","REKAYA",,10,2,,,
,"ADSC","9000","DOCTORAL RESEARCH",,"28588","STICE",,10,3,,,
,"ADSC","9000","DOCTORAL RESEARCH",,"58214","MISZTAL",,5,2,,,
,"ADSC","9000","DOCTORAL RESEARCH",,"97034","BERNARD",,10,1,,,
,"ADSC","9000","DOCTORAL RESEARCH",,"98622","MISZTAL",,5,0,,,
,"ADSC","9300","DOCT DISSERTATION",,"07035","BERNARD",,10,0,,,
,"ADSC","9300","DOCT DISSERTATION",,"08628","STICE",,5,1,,,
,"ADSC","9300","DOCT DISSERTATION",,"57385","REKAYA",,10,1,,,
,"AESC","3920","AGR ENV SCI INTERN",,"05446","ESPELIE",,20,3,,,
,"AESC","3920","AGR ENV SCI INTERN",,"84612","DAVIS",,10,6,,,
,"AESC","4950","SPEC PROB IN AESC",,"46003","BAILEY",,10,1,,,
,"AESC","4950","SPEC PROB IN AESC",,"88028","SHEWFELT",,10,2,,,
,"AFAM","4880","TOPICS AFR AMER LIT",,"04619","MCCASKILL",,10,0,,,
,"AFST","1201","NATUR & STRUC AFREL",,"04698","ADERIBIGBE",,35,14,,,
,"AFST","3030","AFR LANG AND CULT",,"04359","TRAORE",,0,2,,,
,"AGCM","1200","INTRO TO AG COMM",,"83573","HUDSON",,20,13,,,
,"AGCM","3910","AG COM INTERNSHIP",,"33576","HUDSON",,10,4,,,
,"AGCM","3910","AG COM INTERNSHIP",,"75685","MORGAN",,10,0,,,
,"AGCM","4000","SPEC PROB AG COMM",,"53577","HUDSON",,10,7,,,
,"AGCM","4000","SPEC PROB AG COMM",,"95686","MORGAN",,10,0,,,
,"AGCM","4200","AGRIBUS COMM",,"93579","HUDSON",,30,14,,,
,"AGED","3010","APPL LEAD COMM AG",,"43571","FLANDERS",,5,1,,,
,"AGED","4000","DIRECT PROJ EDUC",,"03566","FLANDERS",,5,4,,,
,"AGED","6360","INST STRAT IN AG ED",,"28316","PEAKE",,5,1,,,
,"ALDR","3900S","LEADERSHIP",,"53580","DUNCAN",,25,22,,,
,"ALDR","3910","INTERN LEADERSHIP",,"77016","DUNCAN",,10,4,,,
,"ALDR","4540","CULTURE AND ETHICS",,"13964","RUCKER",,15,3,,,
,"ALDR","4580","LEADERSHIP IN FILM",,"83962","RUCKER",,15,0,,,
,"ALDR","6540","CULTURE AND ETHICS",,"33965","RUCKER",,5,2,,,
,"ALDR","6580","LEADERSHIP IN FILM",,"03963","RUCKER",,5,5,,,
,"ALDR","7000","MASTER'S RESEARCH",,"05681","DUNCAN",,10,4,,,
,"ALDR","7000","MASTER'S RESEARCH",,"05687","MORGAN",,10,2,,,
,"ALDR","7000","MASTER'S RESEARCH",,"44400","NAVARRO",,10,3,,,
,"ALDR","7020E","PROGRAM EVAL",,"73581","FUHRMAN",,20,14,,,
,"ALDR","7110E","SPEC PROBS IN ALDR",,"04403","NAVARRO",,10,1,,,
,"ALDR","7110E","SPEC PROBS IN ALDR",,"15682","DUNCAN",,10,1,,,
,"ALDR","7110E","SPEC PROBS IN ALDR",,"45689","MORGAN",,10,0,,,
,"ALDR","7300","MASTER'S THESIS",,"05690","MORGAN",,10,1,,,
,"ALDR","7300","MASTER'S THESIS",,"28252","FUHRMAN",,3,1,,,
,"ALDR","7300","MASTER'S THESIS",,"64401","NAVARRO",,10,2,,,
,"ALDR","7300","MASTER'S THESIS",,"85680","DUNCAN",,10,1,,,
,"ALDR","8030E","DIFFUSION OF INNOVA",,"14399","NAVARRO",,25,16,,,
,"ANTH","1102","INTRO ANTHROPOLOGY",,"33724","BIGMAN",,50,48,,,
,"ANTH","1102","INTRO ANTHROPOLOGY",,"53725","GONZALEZ",,35,35,,,
,"ANTH","3030","AFR LANG AND CULT",,"74360","TRAORE",,0,8,,,
,"ANTH","3040","INTRO TO BIO ANTH",,"03736","REITSEMA",,15,13,,,
,"ANTH","3270","NEW WORLD ARCH",,"05995","GONZALEZ",,26,9,,,
,"ANTH","3410","CONTEMP NATIVE AMER",,"23729","GARRISON",,20,16,,,
,"ANTH","4020","INDIANS OF N AMER",,"23732","BIGMAN",,50,20,,,
,"ANTH","4261","MUS NAT HIST INTERN",,"84755","REITZ",,10,6,,,
,"ANTH","4900","SPEC TOPICS-ANTHRO",,"86067","JOSEPH",,15,11,,,
,"ANTH","4950","INDIV TOPICS ANT",,"08539","WILLIAMS",,4,0,,,
,"ANTH","4950","INDIV TOPICS ANT",,"97826","WILLIAMS",,4,0,,,
,"ANTH","4980H","DIRECT READ OR PROJ",,"38034","REITSEMA",,1,1,,,
,"ANTH","6020","INDIANS OF N AMER",,"43733","BIGMAN",,0,0,,,
,"ANTH","7000E","MASTER'S RESEARCH",,"67931","WILLIAMS",,5,1,,,
,"ANTH","7300E","MASTER'S THESIS",,"17027","KOWALEWSKI",,5,1,,,
,"ANTH","7300E","MASTER'S THESIS",,"87932","WILLIAMS",,5,1,,,
,"ANTH","8000E","SPEC TOPICS ANTHRO",,"17285","VELASQUEZ RU",,6,7,,,
,"ANTH","8000E","SPEC TOPICS ANTHRO",,"18369","GRAGSON",,5,3,,,
,"ANTH","8000E","SPEC TOPICS ANTHRO",,"18663","WILLIAMS",,5,2,,,
,"ANTH","8000E","SPEC TOPICS ANTHRO",,"27943","GARRISON",,5,3,,,
,"ANTH","8000E","SPEC TOPICS ANTHRO",,"37854","BROSIUS",,5,4,,,
,"ANTH","8000E","SPEC TOPICS ANTHRO",,"47121","TUCKER",,5,3,,,
,"ANTH","8000E","SPEC TOPICS ANTHRO",,"58147","REITSEMA",,5,1,,,
,"ANTH","8111L","ICON INTERN",,"07889","BROSIUS",,0,0,,,
,"ANTH","9000","DOCTORAL RESEARCH",,"18128","GRAGSON",,5,3,,,
,"ANTH","9000","DOCTORAL RESEARCH",,"38129","GRAGSON",,5,0,,,
,"ANTH","9000","DOCTORAL RESEARCH",,"78148","REITZ",,5,2,,,
,"ANTH","9300","DOCT DISSERTATION",,"08662","TUCKER",,5,2,,,
,"ANTH","9300","DOCT DISSERTATION",,"28347","NAZAREA",,5,1,,,
,"ANTH","9300","DOCT DISSERTATION",,"38079","KOWALEWSKI",,5,0,,,
,"ANTH","9300","DOCT DISSERTATION",,"47104","GRAGSON",,5,1,,,
,"ANTH","9300","DOCT DISSERTATION",,"68092","HALLY",,5,1,,,
,"ARAB","4100","READ AND RSCH ARB",,"65337","Staff",,10,0,,,
,"ARAB","4960H","DIRECTED READ/PRJCT",,"05334","Staff",,10,0,,,
,"ARAB","6100","READ AND RSCH ARB",,"85338","Staff",,0,0,,,
,"ARED","5130","STD TECH ART ED",,"18436","SCHULTE",,10,8,,,
,"ARED","7130","STD TECH ART ED",,"38437","SCHULTE",,5,1,,,
,"ARED","7230","SPEC PROB IN AED",,"38552","COSTANTINO",,1,1,,,
,"ARED","7650","APP PROJECT ART EDU",,"58486","SCHULTE",,1,1,,,
,"ARED","7650","APP PROJECT ART EDU",,"68500","COSTANTINO",,1,2,,,
,"ARED","7650","APP PROJECT ART EDU",,"88448","HENRY",,1,0,,,
,"ARED","7650","APP PROJECT ART EDU",,"97633","COSTANTINO",,1,1,,,
,"ARED","7650","APP PROJECT ART EDU",,"98572","HENRY",,1,1,,,
,"ARED","8440","D S IN ART ED",,"08497","SCHULTE",,1,1,,,
,"ARED","8440","D S IN ART ED",,"38549","SCHULTE",,1,1,,,
,"ARED","8440","D S IN ART ED",,"56477","HENRY",,1,1,,,
,"ARED","9000","DOCTORAL RESEARCH",,"17982","HENRY",,1,1,,,
,"ARHI","3530","MODERN PHOTOGRAPHY",,"03462","SIMON",,75,42,,,
,"ARHI","4520","SPIRIT IN MOD ART",,"13463","SIMON",,14,15,,,
,"ARHI","4995","MUSEUM INTERNSHIP",,"78568","WALLACE",,1,1,,,
,"ARHI","6520","SPIRIT IN MOD ART",,"53465","SIMON",,5,6,,,
,"ARHI","7000","MASTER'S RESEARCH",,"47877","WALLACE",,1,1,,,
,"ARHI","7300","MASTER'S THESIS",,"88398","MORRISSEY",,1,1,,,
,"ARHI","8120","DS ART HISTORY",,"07794","ZURAW",,1,0,,,
,"ARHI","8120","DS ART HISTORY",,"27876","WALLACE",,1,2,,,
,"ARHI","8120","DS ART HISTORY",,"37482","MORRISSEY",,1,1,,,
,"ARID","4010","INTERNSHIP",,"14371","HOUSER",,15,9,,,
,"ARID","4350","INT DES PRACTICUM",,"68450","HOUSER",,1,0,,,
,"ARID","6350","INT DES PRACTICUM",,"55023","HOUSER",,2,3,,,
,"ARID","7080","DS IN INT DESIGN",,"77453","HOUSER",,2,1,,,
,"ARST","1050","DRAWING I",,"07861","MURAWSKI",,5,3,,,
,"ARST","1050","DRAWING I",,"44350","MURAWSKI",,18,7,,,
,"ARST","1060","COLOR/COMPOSITION",,"47863","ROMAN",,3,2,,,
,"ARST","1060","COLOR/COMPOSITION",,"64351","ROMAN",,18,11,,,
,"ARST","1070","DRAWING II",,"84352","JASEN",,18,19,,,
,"ARST","1080","THREE DIMENSIONAL D",,"14354","BRAULT",,13,11,,,
,"ARST","1080","THREE DIMENSIONAL D",,"67864","BRAULT",,2,1,,,
,"ARST","2010","INTERMEDIATE DRAW",,"34355","MURAWSKI",,14,17,,,
,"ARST","2100","INTRO PAINTING",,"94358","JACKSON",,8,7,,,
,"ARST","2110","INTERM PAINTING",,"24363","JACKSON",,7,4,,,
,"ARST","2310","INTRO PRTMK INTAG",,"04247","PETERS",,12,10,,,
,"ARST","2400","SCULPTURE I",,"04269","BRANHAM",,14,7,,,
,"ARST","2410","FIGURE SCULPTURE",,"44266","BRANHAM",,12,9,,,
,"ARST","2500","INTRO TO CERAMICS",,"44364","BERMAN",,12,13,,,
,"ARST","2600","JEWELRY & METALWORK",,"04272","JACKSON",,14,9,,,
,"ARST","3010","ADVANCED DRAWING",,"14368","MULIC",,8,10,,,
,"ARST","3010","ADVANCED DRAWING",,"54356","MURAWSKI",,0,12,,,
,"ARST","3140","PAINTING STUDIO",,"34369","MULIC",,8,8,,,
,"ARST","3310","INTRO BK ARTS/PAPER",,"54261","WALTERS",,12,12,,,
,"ARST","3460","FIGURE SCULPTURE II",,"55765","BRANHAM",,0,3,,,
,"ARST","3500","INTERMED CERAMICS",,"44381","SAUPE",,6,10,,,
,"ARST","3500","INTERMED CERAMICS",,"64365","SAUPE",,6,8,,,
,"ARST","4180","DIR STU IN PAINTING",,"57869","JACKSON",,1,0,,,
,"ARST","4230","EXT INTERN IN PHOTO",,"74391","MARSHALL",,16,3,,,
,"ARST","4280","DIR STU IN PHOTO",,"24394","MARSHALL",,5,1,,,
,"ARST","4280","DIR STU IN PHOTO",,"37868","SHINDELMAN",,1,1,,,
,"ARST","4330","PRTMKG SPEC TOPIC I",,"14242","SWINDLER",,7,5,,,
,"ARST","4380","DIR STU IN PRINT",,"47345","HARSHMAN",,1,1,,,
,"ARST","4500","ADV CERAMICS",,"84366","SAUPE",,6,4,,,
,"ARST","4500","ADV CERAMICS",,"84383","SAUPE",,6,1,,,
,"ARST","4610","ADVANCED METAL WORK",,"64379","JACKSON",,15,11,,,
,"ARST","4680","DIR STU IN JEW/MET",,"18680","JACKSON",,1,0,,,
,"ARST","4900","TECH PROBLEMS",,"08449","HWANGBO",,1,1,,,
,"ARST","4900","TECH PROBLEMS",,"24380","NORMAN",,15,12,,,
,"ARST","4930","INTERNSHIP IN ART",,"06183","CRENSHAW",,5,3,,,
,"ARST","4930","INTERNSHIP IN ART",,"14273","JACKSON",,1,2,,,
,"ARST","4930","INTERNSHIP IN ART",,"16184","WRIGHT",,1,1,,,
,"ARST","4930","INTERNSHIP IN ART",,"56298","WHITTLE",,1,2,,,
,"ARST","4930","INTERNSHIP IN ART",,"57452","STRANGE",,5,1,,,
,"ARST","4930","INTERNSHIP IN ART",,"68044","SCHULTE",,1,1,,,
,"ARST","4930","INTERNSHIP IN ART",,"88045","SAUPE",,1,1,,,
,"ARST","6230","INTERN IN PHOTOG",,"04393","MARSHALL",,5,0,,,
,"ARST","6330","PRTMKG SPEC TOPIC I",,"34243","SWINDLER",,4,3,,,
,"ARST","7080","DIR STU IN DRAWING",,"27988","MURAWSKI",,1,1,,,
,"ARST","7280","DIR STU IN PHOTO",,"44395","MARSHALL",,5,1,,,
,"ARST","7480","SCULPTURE DIR STUDY",,"36185","HWANGBO",,1,1,,,
,"ARST","7500","CERAMICS",,"04384","SAUPE",,6,2,,,
,"ARST","7510","TECH PROB CER",,"48530","SAUPE",,1,1,,,
,"ARST","7580","DIR STU IN CER",,"56186","SAUPE",,1,1,,,
,"ARST","7640","METALWORK",,"04689","JACKSON",,0,1,,,
,"ARST","7680","DIR STU IN JEWELRY",,"18498","PEARSE",,1,1,,,
,"ARST","7710","SURFACE DESIGN",,"04278","MOORE",,2,0,,,
,"ARST","8000","GENERAL ART",,"06295","OLIVERI",,1,1,,,
,"ARTI","4950","DIR READING COG SCI",,"05463","DOSHI",,999,0,,,
,"ARTI","4950","DIR READING COG SCI",,"05468","HOOGENBOOM",,999,0,,,
,"ARTI","4950","DIR READING COG SCI",,"25464","RASHEED",,999,0,,,
,"ARTI","4950","DIR READING COG SCI",,"45465","COVINGTON",,999,0,,,
,"ARTI","4950","DIR READING COG SCI",,"55460","POTTER",,999,0,,,
,"ARTI","4950","DIR READING COG SCI",,"65466","BETTINGER",,999,0,,,
,"ARTI","4950","DIR READING COG SCI",,"75461","GOODIE",,999,0,,,
,"ARTI","4950","DIR READING COG SCI",,"85467","MCCLENDON",,999,0,,,
,"ARTI","4950","DIR READING COG SCI",,"95462","BHANDARKAR",,999,0,,,
,"ARTI","4960H","DIR READING HONORS",,"05471","BHANDARKAR",,999,0,,,
,"ARTI","4960H","DIR READING HONORS",,"05477","HOOGENBOOM",,999,0,,,
,"ARTI","4960H","DIR READING HONORS",,"15469","POTTER",,999,0,,,
,"ARTI","4960H","DIR READING HONORS",,"15472","DOSHI",,999,0,,,
,"ARTI","4960H","DIR READING HONORS",,"35473","RASHEED",,999,0,,,
,"ARTI","4960H","DIR READING HONORS",,"55474","COVINGTON",,999,0,,,
,"ARTI","4960H","DIR READING HONORS",,"75475","BETTINGER",,999,0,,,
,"ARTI","4960H","DIR READING HONORS",,"85470","GOODIE",,999,0,,,
,"ARTI","4960H","DIR READING HONORS",,"95476","MCCLENDON",,999,0,,,
,"ARTI","5007","INTERN ARTI BUS/IND",,"05480","BHANDARKAR",,999,0,,,
,"ARTI","5007","INTERN ARTI BUS/IND",,"05485","MCCLENDON",,999,0,,,
,"ARTI","5007","INTERN ARTI BUS/IND",,"15486","HOOGENBOOM",,999,0,,,
,"ARTI","5007","INTERN ARTI BUS/IND",,"25478","POTTER",,999,0,,,
,"ARTI","5007","INTERN ARTI BUS/IND",,"25481","DOSHI",,999,0,,,
,"ARTI","5007","INTERN ARTI BUS/IND",,"45479","GOODIE",,999,0,,,
,"ARTI","5007","INTERN ARTI BUS/IND",,"45482","RASHEED",,999,0,,,
,"ARTI","5007","INTERN ARTI BUS/IND",,"65483","COVINGTON",,999,0,,,
,"ARTI","5007","INTERN ARTI BUS/IND",,"85484","BETTINGER",,999,0,,,
,"ARTI","7000","MASTER'S RESEARCH",,"05494","MCCLENDON",,999,0,,,
,"ARTI","7000","MASTER'S RESEARCH",,"25495","HOOGENBOOM",,999,0,,,
,"ARTI","7000","MASTER'S RESEARCH",,"35487","POTTER",,999,2,,,
,"ARTI","7000","MASTER'S RESEARCH",,"35490","DOSHI",,999,0,,,
,"ARTI","7000","MASTER'S RESEARCH",,"55488","GOODIE",,999,0,,,
,"ARTI","7000","MASTER'S RESEARCH",,"55491","RASHEED",,999,0,,,
,"ARTI","7000","MASTER'S RESEARCH",,"75489","BHANDARKAR",,999,0,,,
,"ARTI","7000","MASTER'S RESEARCH",,"75492","COVINGTON",,999,0,,,
,"ARTI","7000","MASTER'S RESEARCH",,"95493","BETTINGER",,999,0,,,
,"ARTI","7007","INTERN AI BUS/IND",,"05499","DOSHI",,999,0,,,
,"ARTI","7007","INTERN AI BUS/IND",,"05504","HOOGENBOOM",,999,0,,,
,"ARTI","7007","INTERN AI BUS/IND",,"25500","RASHEED",,999,2,,,
,"ARTI","7007","INTERN AI BUS/IND",,"45496","POTTER",,999,1,,,
,"ARTI","7007","INTERN AI BUS/IND",,"45501","COVINGTON",,999,0,,,
,"ARTI","7007","INTERN AI BUS/IND",,"65497","GOODIE",,999,0,,,
,"ARTI","7007","INTERN AI BUS/IND",,"65502","BETTINGER",,999,0,,,
,"ARTI","7007","INTERN AI BUS/IND",,"85498","BHANDARKAR",,999,0,,,
,"ARTI","7007","INTERN AI BUS/IND",,"85503","MCCLENDON",,999,0,,,
,"ARTI","7300","MASTER'S THESIS",,"05513","HOOGENBOOM",,999,0,,,
,"ARTI","7300","MASTER'S THESIS",,"15505","POTTER",,999,1,,,
,"ARTI","7300","MASTER'S THESIS",,"35506","GOODIE",,999,0,,,
,"ARTI","7300","MASTER'S THESIS",,"55507","BHANDARKAR",,999,1,,,
,"ARTI","7300","MASTER'S THESIS",,"55510","COVINGTON",,999,0,,,
,"ARTI","7300","MASTER'S THESIS",,"75508","DOSHI",,999,0,,,
,"ARTI","7300","MASTER'S THESIS",,"75511","BETTINGER",,999,0,,,
,"ARTI","7300","MASTER'S THESIS",,"95509","RASHEED",,999,2,,,
,"ARTI","7300","MASTER'S THESIS",,"95512","MCCLENDON",,999,0,,,
,"ARTI","8000","TOPICS IN AI",,"05518","DOSHI",,999,0,,,
,"ARTI","8000","TOPICS IN AI",,"05521","COVINGTON",,999,0,,,
,"ARTI","8000","TOPICS IN AI",,"15519","RASHEED",,999,0,,,
,"ARTI","8000","TOPICS IN AI",,"35523","BETTINGER",,999,0,,,
,"ARTI","8000","TOPICS IN AI",,"45515","POTTER",,999,0,,,
,"ARTI","8000","TOPICS IN AI",,"55524","MCCLENDON",,999,0,,,
,"ARTI","8000","TOPICS IN AI",,"65516","GOODIE",,999,0,,,
,"ARTI","8000","TOPICS IN AI",,"75525","HOOGENBOOM",,999,0,,,
,"ARTI","8000","TOPICS IN AI",,"85517","BHANDARKAR",,999,0,,,
,"ARTI","8800","READINGS IN AI",,"05527","POTTER",,999,2,,,
,"ARTI","8800","READINGS IN AI",,"05530","DOSHI",,999,0,,,
,"ARTI","8800","READINGS IN AI",,"05535","HOOGENBOOM",,999,0,,,
,"ARTI","8800","READINGS IN AI",,"25528","GOODIE",,999,0,,,
,"ARTI","8800","READINGS IN AI",,"25531","RASHEED",,999,0,,,
,"ARTI","8800","READINGS IN AI",,"45529","BHANDARKAR",,999,0,,,
,"ARTI","8800","READINGS IN AI",,"45532","COVINGTON",,999,0,,,
,"ARTI","8800","READINGS IN AI",,"65533","BETTINGER",,999,0,,,
,"ARTI","8800","READINGS IN AI",,"85534","MCCLENDON",,999,0,,,
,"ARTS","2000","ART APPREC",,"84447","WILSON",,33,33,,,
,"ARTS","2000E","ART APPRECIATION",,"15794","JUNG",,55,55,,,
,"ARTS","7005","GRAD STUDENT SEM",,"08046","MARSHALL",,1,1,,,
,"ARTS","7005","GRAD STUDENT SEM",,"67878","WALLACE",,1,1,,,
,"ARTS","7005","GRAD STUDENT SEM",,"76187","HWANGBO",,1,1,,,
